,nombre,enlace,estado,tipo_de_representacion,representacion
0,Abasolo Sánchez Pedro Daniel,curricula.php?dipt=484,México,Circunscripcion,5
1,Aguilar Castillo Heriberto Marcelo,curricula.php?dipt=250,Sonora,Distrito,4
2,Aguilar Linda Bonifacio,curricula.php?dipt=289,Veracruz,Distrito,18
3,Aguilar Molina Leticia Arlett,curricula.php?dipt=57,Chiapas,Distrito,9
4,Aguilar Vázquez Adriana,curricula.php?dipt=370,San Luis Potosí,Circunscripcion,2
5,Aguilera Brenes Sebastián,curricula.php?dipt=333,Chihuahua,Circunscripcion,1
6,Aguilera Chairez Maribel,curricula.php?dipt=73,Durango,Distrito,3
7,Alavez Ruiz Aleida,curricula.php?dipt=34,Ciudad de México,Distrito,19
8,Alegre Salazar Luis Javier,curricula.php?dipt=409,Quintana Roo,Circunscripcion,3
9,Alejandro Candelaria Maximino,curricula.php?dipt=457,Ciudad de México,Circunscripcion,4
10,Alfaro Morales María Isabel,curricula.php?dipt=102,Hidalgo,Distrito,4
11,Almazán Burgos Karla Yuritzi,curricula.php?dipt=163,México,Distrito,38
12,Alvarado Moreno María Guillermina,curricula.php?dipt=188,Nuevo León,Distrito,2
13,Ambrocio Gachuz José Guadalupe,curricula.php?dipt=183,Morelos,Distrito,5
14,Andazola Gómez Socorro Irma,curricula.php?dipt=7,Baja California,Distrito,4
15,Andrade Zavala Marco Antonio,curricula.php?dipt=413,Chiapas,Circunscripcion,3
16,Angeles Mendoza Julio César,curricula.php?dipt=103,Hidalgo,Distrito,5
17,Antonio Altamirano Carol,curricula.php?dipt=203,Oaxaca,Distrito,5
18,Arenas Madrigal Edgar Eduardo,curricula.php?dipt=662,México,Distrito,37
19,Arrieta Sánchez Eleuterio,curricula.php?dipt=284,Veracruz,Distrito,13
20,Arvizu De la Luz Felipe Rafael,curricula.php?dipt=137,México,Distrito,12
21,Ascencio Ortega Reyna Celeste,curricula.php?dipt=485,Michoacán,Circunscripcion,5
22,Audiffred Fernández Karen Ivette,curricula.php?dipt=536,Ciudad de México,Distrito,21
23,Avalos Magaña Laura Patricia,curricula.php?dipt=258,Tabasco,Distrito,5
24,Avila Vera Mildred Concepción,curricula.php?dipt=231,Quintana Roo,Distrito,3
25,Ayala Bobadilla Carlos Iván,curricula.php?dipt=741,Sinaloa,Distrito,2
26,Badillo Moreno Cuauhtli Fernando,curricula.php?dipt=379,San Luis Potosí,Circunscripcion,2
27,Bahena Jiménez Socorro,curricula.php?dipt=483,México,Circunscripcion,5
28,Barajas Barajas Esteban,curricula.php?dipt=168,Michoacán,Distrito,2
29,Barrera Badillo Rocío,curricula.php?dipt=26,Ciudad de México,Distrito,11
30,Barroso Chávez Alejandro,curricula.php?dipt=223,Puebla,Distrito,15
31,Bautista Bravo Juan Angel,curricula.php?dipt=156,México,Distrito,31
32,Bautista Peláez Maria del Carmen,curricula.php?dipt=207,Oaxaca,Distrito,9
33,Bautista Rivera David,curricula.php?dipt=445,Puebla,Circunscripcion,4
34,Bayardo Cabrera Rosa María,curricula.php?dipt=548,Colima,Distrito,2
35,Blas López Víctor,curricula.php?dipt=419,Oaxaca,Circunscripcion,3
36,Bonifaz Moedano Raúl Eduardo,curricula.php?dipt=554,Chiapas,Distrito,6
37,Bonilla Herrera Raquel,curricula.php?dipt=276,Veracruz,Distrito,5
38,Borrego Adame Francisco Javier,curricula.php?dipt=41,Coahuila,Distrito,2
39,Briceño Zuloaga María Wendy,curricula.php?dipt=251,Sonora,Distrito,5
40,Burelo Cortazar Teresa,curricula.php?dipt=255,Tabasco,Distrito,2
41,Calderón Medina Samuel,curricula.php?dipt=443,Morelos,Circunscripcion,4
42,Calderón Salas Rodrigo,curricula.php?dipt=278,Veracruz,Distrito,7
43,Campos Equihua Ignacio Benjamín,curricula.php?dipt=175,Michoacán,Distrito,9
44,Cano González Susana,curricula.php?dipt=487,México,Circunscripcion,5
45,Carbajal Miranda Marco Antonio,curricula.php?dipt=327,Sonora,Circunscripcion,1
46,Carranza Aréas Julio,curricula.php?dipt=405,Veracruz,Circunscripcion,3
47,Carrasco Godínez Nelly Minerva,curricula.php?dipt=129,México,Distrito,4
48,Carrazco Macías Olegaria,curricula.php?dipt=245,Sinaloa,Distrito,6
49,Carrillo Luna Juana,curricula.php?dipt=489,México,Circunscripcion,5
50,Carrillo Martínez Miroslava,curricula.php?dipt=159,México,Distrito,34
51,Carvajal Hidalgo Alejandro,curricula.php?dipt=214,Puebla,Distrito,6
52,Castañeda Ortiz María Guadalupe Edith,curricula.php?dipt=495,México,Circunscripcion,5
53,Castillo Lozano Katia Alejandra,curricula.php?dipt=338,Jalisco,Circunscripcion,1
54,Cayetano García Rubén,curricula.php?dipt=97,Guerrero,Distrito,8
55,Cazarez Yañez Martina,curricula.php?dipt=375,San Luis Potosí,Circunscripcion,2
56,Chávez Pérez María,curricula.php?dipt=497,Michoacán,Circunscripcion,5
57,Chico Herrera Miguel Ángel,curricula.php?dipt=371,Guanajuato,Circunscripcion,2
58,Clouthier Carrillo Tatiana,curricula.php?dipt=328,Sinaloa,Circunscripcion,1
59,Contreras Castillo Armando,curricula.php?dipt=415,Oaxaca,Circunscripcion,3
60,Contreras Montes Gustavo,curricula.php?dipt=133,México,Distrito,8
61,Cruz Santos Flora Tania,curricula.php?dipt=282,Veracruz,Distrito,11
62,Cuaxiloa Serrano Susana Beatriz,curricula.php?dipt=452,Puebla,Circunscripcion,4
63,Cuevas Barron Gabriela,curricula.php?dipt=450,Ciudad de México,Circunscripcion,4
64,De Jesús Jiménez Lucio,curricula.php?dipt=451,Ciudad de México,Circunscripcion,4
65,De La Cruz Delucio Patricia Del Carmen,curricula.php?dipt=402,Chiapas,Circunscripcion,3
66,Del Bosque Villarreal Diego Eduardo,curricula.php?dipt=374,Coahuila,Circunscripcion,2
67,Del Castillo Ibarra Erika Vanessa,curricula.php?dipt=16,Ciudad de México,Distrito,1
68,Delgado Carrillo Mario,curricula.php?dipt=28,Ciudad de México,Distrito,13
69,Delsol Estrada José Ricardo,curricula.php?dipt=236,San Luis Potosí,Distrito,4
70,Díaz Aguilar Leticia,curricula.php?dipt=448,Ciudad de México,Circunscripcion,4
71,Diaz García María Elizabeth,curricula.php?dipt=138,México,Distrito,13
72,Domínguez Flores Rosalinda,curricula.php?dipt=205,Oaxaca,Distrito,7
73,Domínguez Rodríguez Roberto Ángel,curricula.php?dipt=153,México,Distrito,28
74,Elizondo Garrido Francisco,curricula.php?dipt=380,Nuevo León,Circunscripcion,2
75,Elorza Flores José Luis,curricula.php?dipt=60,Chiapas,Distrito,12
76,Espadas Méndez Gregorio Efraín,curricula.php?dipt=256,Tabasco,Distrito,3
77,Espinosa de los Monteros García Adriana María Guadalupe,curricula.php?dipt=24,Ciudad de México,Distrito,9
78,Espinoza Lopez Brenda,curricula.php?dipt=446,Morelos,Circunscripcion,4
79,Espinoza Segura María Bertha,curricula.php?dipt=274,Veracruz,Distrito,3
80,Exsome Zapata Ricardo Francisco,curricula.php?dipt=275,Veracruz,Distrito,4
81,Farías Zambrano Melba Nelia,curricula.php?dipt=42,Coahuila,Distrito,3
82,Farrera Esponda Juan Enrique,curricula.php?dipt=58,Chiapas,Distrito,10
83,Fernández Cruz Nayeli Arlen,curricula.php?dipt=441,Ciudad de México,Circunscripcion,4
84,Flores Anguiano Feliciano,curricula.php?dipt=167,Michoacán,Distrito,1
85,Flores Olivo Lucía,curricula.php?dipt=458,Ciudad de México,Circunscripcion,4
86,García Anaya Lidia,curricula.php?dipt=104,Hidalgo,Distrito,6
87,García Cayetano Dorheny,curricula.php?dipt=418,Veracruz,Circunscripcion,3
88,García Corpus Teófilo Manuel,curricula.php?dipt=389,Oaxaca,Circunscripcion,3
89,García Guardado Ma. de Jesús,curricula.php?dipt=357,Zacatecas,Circunscripcion,2
90,García Hernández Jesús Fernando,curricula.php?dipt=242,Sinaloa,Distrito,3
91,García Rosales Edith,curricula.php?dipt=400,Veracruz,Circunscripcion,3
92,García Rubio Agustín,curricula.php?dipt=498,Michoacán,Circunscripcion,5
93,García Soto Ulises,curricula.php?dipt=65,Chihuahua,Distrito,4
94,García Vidaña Martha Olivia,curricula.php?dipt=71,Durango,Distrito,1
95,García Zepeda Julieta,curricula.php?dipt=493,Michoacán,Circunscripcion,5
96,Gómez Ventura Manuel,curricula.php?dipt=407,Veracruz,Circunscripcion,3
97,Gómez Álvarez Pablo,curricula.php?dipt=38,Ciudad de México,Distrito,23
98,González Castañeda Sandra Paola,curricula.php?dipt=198,Nuevo León,Distrito,12
99,González Reyes Marco Antonio,curricula.php?dipt=492,México,Circunscripcion,5
100,González Robledo Erasmo,curricula.php?dipt=266,Tamaulipas,Distrito,7
101,Guerra Mena Juanita,curricula.php?dipt=181,Morelos,Distrito,3
102,Guerra Méndez Lizeth Amayrani,curricula.php?dipt=404,Veracruz,Circunscripcion,3
103,Guerrero Barrera Yolanda,curricula.php?dipt=171,Michoacán,Distrito,5
104,Guillén Quiroz Ana Lilia,curricula.php?dipt=174,Michoacán,Distrito,8
105,Gutiérrez Gutiérrez Daniel,curricula.php?dipt=208,Oaxaca,Distrito,10
106,Gutiérrez Luna Sergio Carlos,curricula.php?dipt=988,México,Circunscripcion,5
107,Guzmán De La Torre Francisco Javier,curricula.php?dipt=331,Jalisco,Circunscripcion,1
108,Guzmán Valdéz Edgar,curricula.php?dipt=215,Puebla,Distrito,7
109,Hernández Pérez César Agustín,curricula.php?dipt=155,México,Distrito,30
110,Hernández Pérez María Eugenia,curricula.php?dipt=136,México,Distrito,11
111,Hernández Tapia Arturo Roberto,curricula.php?dipt=160,México,Distrito,35
112,Hernández Villalpando Rafael,curricula.php?dipt=281,Veracruz,Distrito,10
113,Herrera Chávez Samuel,curricula.php?dipt=300,Zacatecas,Distrito,4
114,Herrera Pérez Gonzalo,curricula.php?dipt=173,Michoacán,Distrito,7
115,Hidalgo Ponce Javier Ariel,curricula.php?dipt=25,Ciudad de México,Distrito,10
116,Huerta Corona Benjamín Saúl,curricula.php?dipt=219,Puebla,Distrito,11
117,Huerta González Agustín Reynaldo,curricula.php?dipt=459,Puebla,Circunscripcion,4
118,Huerta Martínez Manuel,curricula.php?dipt=455,Guerrero,Circunscripcion,4
119,Huerta del Río María de los Ángeles,curricula.php?dipt=149,México,Distrito,24
120,Interian Gallegos Limbert Iván de Jesús,curricula.php?dipt=794,Yucatán,Distrito,3
121,Jarero Velázquez Miguel Pavel,curricula.php?dipt=184,Nayarit,Distrito,1
122,Jáuregui Montes de Oca Miguel Ángel,curricula.php?dipt=18,Ciudad de México,Distrito,3
123,Jiménez Andrade Lorena del Socorro,curricula.php?dipt=110,Jalisco,Distrito,5
124,Jiménez y Meneses Héctor Guillermo de Jesús,curricula.php?dipt=221,Puebla,Distrito,13
125,Juan Carlos Irma,curricula.php?dipt=200,Oaxaca,Distrito,2
126,Lamarque Cano Carlos Javier,curricula.php?dipt=252,Sonora,Distrito,6
127,López Aparicio Delfino,curricula.php?dipt=150,México,Distrito,25
128,López Castillo Manuel,curricula.php?dipt=309,Sonora,Circunscripcion,1
129,López Chávez Maria Beatriz,curricula.php?dipt=442,Ciudad de México,Circunscripcion,4
130,López Pérez María Teresa,curricula.php?dipt=332,Jalisco,Circunscripcion,1
131,López Rayón Claudia,curricula.php?dipt=20,Ciudad de México,Distrito,5
132,López Rodríguez Abelina,curricula.php?dipt=93,Guerrero,Distrito,4
133,Maceda Carrera Nelly,curricula.php?dipt=222,Puebla,Distrito,14
134,Maldonado Tapia Mirna Zabeida,curricula.php?dipt=297,Zacatecas,Distrito,1
135,Manzano Salazar Javier,curricula.php?dipt=94,Guerrero,Distrito,5
136,Márquez González Miguel Ángel,curricula.php?dipt=329,Jalisco,Circunscripcion,1
137,Martínez Aguilar Emeteria Claudia,curricula.php?dipt=408,Chiapas,Circunscripcion,3
138,Martínez Aké Carlos Enrique,curricula.php?dipt=14,Campeche,Distrito,1
139,Martínez Flores Juan,curricula.php?dipt=287,Veracruz,Distrito,16
140,Martínez González Laura,curricula.php?dipt=433,Ciudad de México,Circunscripcion,4
141,Martínez Ventura Luis Enrique,curricula.php?dipt=157,México,Distrito,32
142,Maya Martínez Hirepan,curricula.php?dipt=486,Michoacán,Circunscripcion,5
143,Mayer Bretón Sergio,curricula.php?dipt=21,Ciudad de México,Distrito,6
144,Medel Palma Carmen,curricula.php?dipt=285,Veracruz,Distrito,14
145,Medina Pérez Marco Antonio,curricula.php?dipt=417,Veracruz,Circunscripcion,3
146,Mejía Cruz Maria Esther,curricula.php?dipt=62,Chihuahua,Distrito,1
147,Mercado Torres Edith Marisol,curricula.php?dipt=499,México,Circunscripcion,5
148,Merino García Virginia,curricula.php?dipt=406,Oaxaca,Circunscripcion,3
149,Merlín García María del Rosario,curricula.php?dipt=98,Guerrero,Distrito,9
150,Mier Velazco Moisés Ignacio,curricula.php?dipt=447,Puebla,Circunscripcion,4
151,Minor Mora Jesús Salvador,curricula.php?dipt=4,Baja California,Distrito,1
152,Mojica Toledo Alejandro,curricula.php?dipt=179,Morelos,Distrito,1
153,Mojica Wences Víctor Adolfo,curricula.php?dipt=90,Guerrero,Distrito,1
154,Molina Espinoza Irineo,curricula.php?dipt=199,Oaxaca,Distrito,1
155,Montes Hernández María de Lourdes,curricula.php?dipt=572,Durango,Distrito,2
156,Montes Nieves Jorge Luis,curricula.php?dipt=225,Querétaro,Distrito,2
157,Mora García Carmen,curricula.php?dipt=280,Veracruz,Distrito,9
158,Mora Ríos María Teresa Rebeca Rosa,curricula.php?dipt=147,México,Distrito,22
159,Morales Elvira Erik Isaac,curricula.php?dipt=10,Baja California,Distrito,7
160,Moreno Gil Mario Ismael,curricula.php?dipt=8,Baja California,Distrito,5
161,Murguía Soto Ulises,curricula.php?dipt=144,México,Distrito,19
162,Muñoz Ledo  Porfirio,curricula.php?dipt=453,Ciudad de México,Circunscripcion,4
163,Navarrete Rivera Alma Delia,curricula.php?dipt=135,México,Distrito,10
164,Noriega Galaz Martha Lizeth,curricula.php?dipt=505,Baja California,Distrito,2
165,Novella Macías Oscar Rafael,curricula.php?dipt=369,Zacatecas,Circunscripcion,2
166,Núñez Alvarez Estela,curricula.php?dipt=254,Tabasco,Distrito,1
167,Obrador Narváez Manuela del Carmen,curricula.php?dipt=49,Chiapas,Distrito,1
168,Ocampo Manzanares Araceli,curricula.php?dipt=91,Guerrero,Distrito,2
169,Ochoa Valdivia Zaira,curricula.php?dipt=412,Veracruz,Circunscripcion,3
170,Olvera Bautista Simey,curricula.php?dipt=101,Hidalgo,Distrito,3
171,Onofre Vázquez Vicente Alberto,curricula.php?dipt=158,México,Distrito,33
172,Orihuela Nava David,curricula.php?dipt=148,México,Distrito,23
173,Ortega Nájera Hilda Patricia,curricula.php?dipt=74,Durango,Distrito,4
174,Padierna Luna Dolores,curricula.php?dipt=27,Ciudad de México,Distrito,12
175,Palacios Cordero Lucio Ernesto,curricula.php?dipt=449,Ciudad de México,Circunscripcion,4
176,Palma Olvera Carmen Patricia,curricula.php?dipt=230,Quintana Roo,Distrito,2
177,Pani Barragán Alejandra,curricula.php?dipt=180,Morelos,Distrito,2
178,Parra Juárez Inés,curricula.php?dipt=212,Puebla,Distrito,4
179,Pedrero Moreno Humberto,curricula.php?dipt=50,Chiapas,Distrito,2
180,Peralta De La Peña Ana Patricia,curricula.php?dipt=399,Quintana Roo,Circunscripcion,3
181,Pérez Arroyo Alfonso,curricula.php?dipt=717,Puebla,Distrito,9
182,Pérez Bernabe Jaime Humberto,curricula.php?dipt=277,Veracruz,Distrito,6
183,Pérez Hernández Sergio,curricula.php?dipt=490,México,Circunscripcion,5
184,Pérez López Beatriz Dominga,curricula.php?dipt=204,Oaxaca,Distrito,6
185,Pérez Mackintosh Miriam Citlally,curricula.php?dipt=334,Nayarit,Circunscripcion,1
186,Pérez Rodríguez Claudia,curricula.php?dipt=771,Tlaxcala,Distrito,3
187,Pérez Segura Laura Imelda,curricula.php?dipt=121,Jalisco,Distrito,16
188,Piña Bernal Adela,curricula.php?dipt=456,Ciudad de México,Circunscripcion,4
189,Ponce Cobos Alejandro,curricula.php?dipt=401,Oaxaca,Circunscripcion,3
190,Ponce Méndez María Geraldine,curricula.php?dipt=185,Nayarit,Distrito,2
191,Pool Moo Jesús de los Ángeles,curricula.php?dipt=232,Quintana Roo,Distrito,4
192,Prado de los Santos Miguel,curricula.php?dipt=55,Chiapas,Distrito,7
193,Rabelo Velasco Roque Luis,curricula.php?dipt=52,Chiapas,Distrito,4
194,Ramírez Cuellar Alfonso,curricula.php?dipt=29,Ciudad de México,Distrito,14
195,Ramírez Lucero Martha Patricia,curricula.php?dipt=340,Baja California,Circunscripcion,1
196,Ramírez Navarrete Francisco Javier,curricula.php?dipt=496,México,Circunscripcion,5
197,Ramos Cruz Verónica,curricula.php?dipt=326,Jalisco,Circunscripcion,1
198,Ramos Ruiz Juan Israel,curricula.php?dipt=373,Guanajuato,Circunscripcion,2
199,Ramos Sotelo Guadalupe,curricula.php?dipt=39,Ciudad de México,Distrito,24
200,Regalado Mardueño Carmina Yadira,curricula.php?dipt=330,Nayarit,Circunscripcion,1
201,Reyes Colín Marco Antonio,curricula.php?dipt=165,México,Distrito,40
202,Reyes López Valentín,curricula.php?dipt=288,Veracruz,Distrito,17
203,Reyes Miguel Idalia,curricula.php?dipt=454,Guerrero,Circunscripcion,4
204,Ríos Fararoni Eulalio Juan,curricula.php?dipt=291,Veracruz,Distrito,20
205,Rivera Castillo Fortunato,curricula.php?dipt=99,Hidalgo,Distrito,1
206,Robles Gutiérrez Beatriz Silvia,curricula.php?dipt=226,Querétaro,Distrito,3
207,Robles Ortiz Martha,curricula.php?dipt=154,México,Distrito,29
208,Rocha Vega Efraín,curricula.php?dipt=339,Chihuahua,Circunscripcion,1
209,Rodríguez Arellano Ediltrudis,curricula.php?dipt=416,Tabasco,Circunscripcion,3
210,Rodríguez González Manuel,curricula.php?dipt=257,Tabasco,Distrito,4
211,Rodríguez Gómez Eraclio,curricula.php?dipt=68,Chihuahua,Distrito,7
212,Rodríguez Ruiz Ana María,curricula.php?dipt=33,Ciudad de México,Distrito,18
213,Rojas Martínez Beatriz,curricula.php?dipt=22,Ciudad de México,Distrito,7
214,Román Ávila María Guadalupe,curricula.php?dipt=142,México,Distrito,17
215,Rosas Martínez Luz Estefanía,curricula.php?dipt=431,Ciudad de México,Circunscripcion,4
216,Rosas Uribe Erika Mariana,curricula.php?dipt=324,Sinaloa,Circunscripcion,1
217,Ruiz Arias Maximiliano,curricula.php?dipt=240,Sinaloa,Distrito,1
218,Ruiz Lustre Hugo Rafael,curricula.php?dipt=494,Hidalgo,Circunscripcion,5
219,Salazar Fernández Luis Fernando,curricula.php?dipt=44,Coahuila,Distrito,5
220,Salinas Narváez Javier,curricula.php?dipt=469,México,Circunscripcion,5
221,Sánchez Barrios Carlos,curricula.php?dipt=96,Guerrero,Distrito,7
222,Sánchez Castro Anita,curricula.php?dipt=172,Michoacán,Distrito,6
223,Sánchez Galván Miroslava,curricula.php?dipt=378,Coahuila,Circunscripcion,2
224,Sánchez Ortiz Graciela,curricula.php?dipt=146,México,Distrito,21
225,Sánchez Rodríguez Juan Pablo,curricula.php?dipt=145,México,Distrito,20
226,Sánchez Barrales Zavalza Raúl Ernesto,curricula.php?dipt=140,México,Distrito,15
227,Sandoval Soberanes Lucinda,curricula.php?dipt=336,Sinaloa,Circunscripcion,1
228,Santiago Chepi Azael,curricula.php?dipt=202,Oaxaca,Distrito,4
229,Santiago Manuel Iran,curricula.php?dipt=403,Oaxaca,Circunscripcion,3
230,Santiago Marcos Nancy Yadira,curricula.php?dipt=244,Sinaloa,Distrito,5
231,Santos Díaz Edelmiro Santiago,curricula.php?dipt=377,Nuevo León,Circunscripcion,2
232,Sibaja Mendoza Jorge Ángel,curricula.php?dipt=911,Chiapas,Circunscripcion,3
233,Solís Barrera María Marivel,curricula.php?dipt=491,Hidalgo,Circunscripcion,5
234,Tellez Infante Jannet,curricula.php?dipt=105,Hidalgo,Distrito,7
235,Tello Espinosa Claudia,curricula.php?dipt=279,Veracruz,Distrito,8
236,Tenorio Adame Paola,curricula.php?dipt=290,Veracruz,Distrito,19
237,Terán Águila Rubén,curricula.php?dipt=270,Tlaxcala,Distrito,2
238,Valencia Cruz Rosalba,curricula.php?dipt=414,Veracruz,Circunscripcion,3
239,Valles Sampedro Lorenia Iveth,curricula.php?dipt=249,Sonora,Distrito,3
240,Varela López Víctor Gabriel,curricula.php?dipt=37,Ciudad de México,Distrito,22
241,Vargas Hernández Lidia Nallely,curricula.php?dipt=372,San Luis Potosí,Circunscripcion,2
242,Vargas Meraz Teresita de Jesús,curricula.php?dipt=63,Chihuahua,Distrito,2
243,Vazquez Vazquez Alfredo,curricula.php?dipt=51,Chiapas,Distrito,3
244,Veloz Silva María Luisa,curricula.php?dipt=376,San Luis Potosí,Circunscripcion,2
245,Vences Valencia Julieta Kristal,curricula.php?dipt=216,Puebla,Distrito,8
246,Viedma Velázquez Alejandro,curricula.php?dipt=480,México,Circunscripcion,5
247,Villa Villegas Alberto,curricula.php?dipt=335,Jalisco,Circunscripcion,1
248,Villalvazo Amaya Mirtha Iliana,curricula.php?dipt=186,Nayarit,Distrito,3
249,Villarauz Martínez Rocío del Pilar,curricula.php?dipt=444,Ciudad de México,Circunscripcion,4
250,Villarreal Pasaret Francisco Jorge,curricula.php?dipt=837,Chihuahua,Circunscripcion,1
251,Villavicencio Ayala Silvia Lorena,curricula.php?dipt=31,Ciudad de México,Distrito,16
